id,param_value,expected_regret,correct_arm,correct_arm_80,min_opt_gap,opt_mean,warmup,warmup_label
120,41,160.94750000000013,0.64,0.09,0.050000000000000044,0.55,2000,Warmup N: 2000
121,51,27.851999999999997,1.0,1.0,0.4,0.9,0,Warmup N: 0
122,51,39.2,1.0,1.0,0.35,0.85,0,Warmup N: 0
123,51,51.47400000000002,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
124,51,43.5225,1.0,1.0,0.25,0.75,0,Warmup N: 0
125,51,39.50399999999999,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
126,51,62.38349999999999,1.0,1.0,0.15000000000000002,0.65,0,Warmup N: 0
127,51,116.926,0.91,0.82,0.09999999999999998,0.6,0,Warmup N: 0
128,51,117.87800000000009,0.73,0.0,0.050000000000000044,0.55,0,Warmup N: 0
129,51,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
130,51,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
131,51,281.79300000000023,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
132,51,235.18,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
133,51,189.3679999999999,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
134,51,149.73000000000005,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
135,51,136.68999999999994,0.94,0.88,0.09999999999999998,0.6,1000,Warmup N: 1000
136,51,127.28250000000011,0.73,0.0,0.050000000000000044,0.55,1000,Warmup N: 1000
137,51,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
138,51,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
139,51,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
140,51,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
141,51,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
142,51,283.62599999999986,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
143,51,207.414,1.0,0.88,0.09999999999999998,0.6,2000,Warmup N: 2000
144,51,168.4690000000001,0.64,0.09,0.050000000000000044,0.55,2000,Warmup N: 2000
145,61,51.452,1.0,1.0,0.4,0.9,0,Warmup N: 0
146,61,58.8945,1.0,1.0,0.35,0.85,0,Warmup N: 0
147,61,30.357,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
148,61,51.1575,1.0,1.0,0.25,0.75,0,Warmup N: 0
149,61,60.326,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
150,61,69.978,1.0,1.0,0.15000000000000002,0.65,0,Warmup N: 0
151,61,92.81399999999998,0.97,0.97,0.09999999999999998,0.6,0,Warmup N: 0
152,61,112.43800000000009,0.79,0.1,0.050000000000000044,0.55,0,Warmup N: 0
153,61,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
154,61,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
155,61,281.3070000000002,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
156,61,235.195,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
157,61,189.04999999999993,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
158,61,149.19900000000007,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
159,61,124.31499999999994,1.0,0.94,0.09999999999999998,0.6,1000,Warmup N: 1000
160,61,132.71600000000012,0.76,0.0,0.050000000000000044,0.55,1000,Warmup N: 1000
161,61,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
162,61,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
163,61,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
164,61,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
165,61,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
166,61,284.36399999999986,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
167,61,205.47299999999998,1.0,0.94,0.09999999999999998,0.6,2000,Warmup N: 2000
168,61,167.5460000000001,0.64,0.12,0.050000000000000044,0.55,2000,Warmup N: 2000
169,71,31.556,1.0,1.0,0.4,0.9,0,Warmup N: 0
170,71,58.8805,1.0,1.0,0.35,0.85,0,Warmup N: 0
171,71,37.656,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
172,71,56.26,1.0,1.0,0.25,0.75,0,Warmup N: 0
173,71,77.632,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
174,71,75.0465,0.97,0.97,0.15000000000000002,0.65,0,Warmup N: 0
175,71,116.65899999999996,0.94,0.91,0.09999999999999998,0.6,0,Warmup N: 0
176,71,106.9310000000001,0.82,0.03,0.050000000000000044,0.55,0,Warmup N: 0
177,71,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
178,71,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
179,71,281.24400000000026,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
180,71,235.2175,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
181,71,188.89399999999992,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
182,71,149.64000000000007,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
183,71,130.77099999999993,0.97,0.94,0.09999999999999998,0.6,1000,Warmup N: 1000
184,71,132.85700000000008,0.76,0.0,0.050000000000000044,0.55,1000,Warmup N: 1000
185,71,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
186,71,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
187,71,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
188,71,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
189,71,375.01199999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
190,71,283.09499999999986,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
191,71,205.59,1.0,0.97,0.09999999999999998,0.6,2000,Warmup N: 2000
192,71,162.45900000000012,0.72,0.12,0.050000000000000044,0.55,2000,Warmup N: 2000
193,81,46.912,1.0,1.0,0.4,0.9,0,Warmup N: 0
194,81,29.666,1.0,1.0,0.35,0.85,0,Warmup N: 0
195,81,45.306,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
196,81,44.7125,1.0,1.0,0.25,0.75,0,Warmup N: 0
197,81,55.72799999999999,1.0,1.0,0.19999999999999996,0.7,0,Warmup N: 0
198,81,93.6015,0.97,0.97,0.15000000000000002,0.65,0,Warmup N: 0
